lang_name	ID	lx_all	lx_all_correct	is_corrected
salangsigule	1	toeboeh		FALSE
salangsigule	2	toehoe		FALSE
salangsigule	3	moekò		FALSE
salangsigule	4	mata eugeu		FALSE
salangsigule	5	galan doefoe		FALSE
salangsigule	6	boe doehoe		FALSE
salangsigule	8	oeloen doehoe		FALSE
salangsigule	9	goegoejoe		FALSE
salangsigule	11	mata		FALSE
salangsigule	15	boe êngot		FALSE
salangsigule	17	iloeh mata		FALSE
salangsigule	18	ichoe		FALSE
salangsigule	20	taï michoe	taī michoe	TRUE
salangsigule	21	gasang		FALSE
salangsigule	22	bafah		FALSE
salangsigule	25	bìfì		FALSE
salangsigule	27	goemi		FALSE
salangsigule	28	djanggoe-i		FALSE
salangsigule	29	ímbí		FALSE
salangsigule	30	bau		FALSE
salangsigule	31	lélah		FALSE
salangsigule	32	teumba teumba		FALSE
salangsigule	33	nifeu		FALSE
salangsigule	34	bó-àh		FALSE
salangsigule	35	niengi		FALSE
salangsigule	37	bêló-an		FALSE
salangsigule	38	nógoe		FALSE
salangsigule	41/42	tòtò		FALSE
salangsigule	45	mata dòtò		FALSE
salangsigule	46	idaneu dòtò		FALSE
salangsigule	48	mètòtò		FALSE
salangsigule	50	rósó		FALSE
salangsigule	52	gêmatan		FALSE
salangsigule	54	bétoe-a		FALSE
salangsigule	56	goeròh		FALSE
salangsigule	57	afètòh		FALSE
salangsigule	61	oecheu		FALSE
salangsigule	62	tali oecheu		FALSE
salangsigule	63	titi		FALSE
salangsigule	65	galífí		FALSE
salangsigule	68	lamang		FALSE
salangsigule	69	lalah taï	lalah taǐ	TRUE
salangsigule	72	mètaï	mètaǐ	TRUE
salangsigule	73	taï	taǐ	TRUE
salangsigule	75	eutoe		FALSE
salangsigule	76	abeu-oe		FALSE
salangsigule	77	boetoeh		FALSE
salangsigule	78	sipó		FALSE
salangsigule	82	mèchi-eu		FALSE
salangsigule	83	gi-eu		FALSE
salangsigule	84	gaï-gahè	gaǐ-gahè	TRUE
salangsigule	86	laloe-a gahè	laloe-a gahè	TRUE
salangsigule	88	mata-an		FALSE
salangsigule	90	faha		FALSE
salangsigule	91	mata bóhoen		FALSE
salangsigule	93	bíhí		FALSE
salangsigule	94	teula bíhí		FALSE
salangsigule	95	danga		FALSE
salangsigule	97	danga		FALSE
salangsigule	99	bafa gèchè		FALSE
salangsigule	100	mata-i-oe		FALSE
salangsigule	102	laloea danga		FALSE
salangsigule	105	nònò danga		FALSE
salangsigule	107	dènap		FALSE
salangsigule	108	iendo danga/inah danga		FALSE
salangsigule	109	gietòe toeloe		FALSE
salangsigule	111	nònò danga		FALSE
salangsigule	112	nònò danga		FALSE
salangsigule	115	deulah		FALSE
salangsigule	116	dó		FALSE
salangsigule	117	nêhí		FALSE
salangsigule	118	goeng-ò		FALSE
salangsigule	121	bìbì		FALSE
salangsigule	122	boe		FALSE
salangsigule	123	boe		FALSE
salangsigule	124	atingêh		FALSE
salangsigule	125	niloe		FALSE
salangsigule	126	mata dòhò		FALSE
salangsigule	127	ahêng ahêng		FALSE
salangsigule	128	mang-a		FALSE
salangsigule	129	oeloefoe		FALSE
salangsigule	130	manginoe		FALSE
salangsigule	131	angalifoe		FALSE
salangsigule	132	angaungau		FALSE
salangsigule	133	aboe-ó		FALSE
salangsigule	134	aboe-ó		FALSE
salangsigule	137	nibeutêk		FALSE
salangsigule	138	mêleu'		FALSE
salangsigule	139	mainifí		FALSE
salangsigule	144	oemiendó		FALSE
salangsigule	145	mòfaneu		FALSE
salangsigule	146	gaja gaja		FALSE
salangsigule	147	lêgoe lêgoe		FALSE
salangsigule	148	mêleu'		FALSE
salangsigule	149	tau tau		FALSE
salangsigule	150	bêsèlòh		FALSE
salangsigule	151	éting éting		FALSE
salangsigule	152	oengkang oengkang		FALSE
salangsigule	153	loemalangi		FALSE
salangsigule	154	mòndí		FALSE
salangsigule	156	gagap		FALSE
salangsigule	158	soewarò		FALSE
salangsigule	159	alau		FALSE
salangsigule	160	fa eundoe		FALSE
salangsigule	160	mèfoe-ó		FALSE
salangsigule	161	toematawa		FALSE
salangsigule	163	mè-è		FALSE
salangsigule	165	gienggòh		FALSE
salangsigule	166	oemahêng		FALSE
salangsigule	167	mèngè iloe		FALSE
salangsigule	169	mèfaheu		FALSE
